Device ID,RSSI (dBm),Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
10:2b:aa:50:39:a6,-34.00,2026-07-14 04:59:37,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,703A,Evolve M2
10:2b:aa:50:8f:44,-31.00,2026-07-14 04:59:34,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,803B,Evolve M2
10:2b:aa:50:3a:60,-32.00,2026-07-14 04:59:31,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,607B,Evolve M2
10:2b:aa:50:90:8b,-31.00,2026-07-14 04:57:00,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,506A,Evolve M2
10:2b:aa:50:8d:6a,-34.00,2026-07-14 04:56:25,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1409B,Evolve M2
10:2b:aa:50:3e:ef,-31.00,2026-07-14 04:54:44,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1506A,Evolve M2
10:2b:aa:50:04:d5,-34.00,2026-07-14 04:51:57,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1611B,Evolve M2
10:2b:aa:50:91:c6,-34.00,2026-07-14 04:51:10,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1702B,Evolve M2
10:2b:aa:50:30:13,-32.00,2026-07-14 04:49:28,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,702A,Evolve M2
10:2b:aa:50:38:38,-34.00,2026-07-14 04:49:19,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1012B,Evolve M2
10:2b:aa:51:ea:2b,-29.00,2026-07-14 04:47:50,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1209G,Evolve M2
10:2b:aa:50:32:bc,-31.00,2026-07-14 04:47:18,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1807A,Evolve M2
10:2b:aa:50:32:5f,-34.00,2026-07-14 04:45:22,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,607B,Evolve M2
