Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
18:0c:7a:8a:7a:c2,2026-08-04 20:44:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1027@L,Evolve M2
38:e1:f4:48:81:10,2026-08-04 20:44:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2062@B1,Evolve M2
38:e1:f4:48:81:86,2026-08-04 20:44:55,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2059@B1,Evolve M2
38:e1:f4:48:94:30,2026-08-04 20:44:53,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1045@B1,Evolve M2
38:e1:f4:48:81:45,2026-08-04 20:44:52,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2060,Evolve M2
38:e1:f4:48:93:f7,2026-08-04 20:44:52,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1044@B1,Evolve M2
38:e1:f4:48:92:35,2026-08-04 20:44:47,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1030@L,Evolve M2
18:0c:7a:8a:86:ec,2026-08-04 20:44:45,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1041@L,Evolve M2
38:e1:f4:48:76:9c,2026-08-04 20:44:40,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2011@B1,Evolve M2
38:e1:f4:48:87:19,2026-08-04 20:44:40,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2080@B2,Evolve M2
38:e1:f4:48:db:ae,2026-08-04 20:44:39,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1073@B1,Evolve M2
38:e1:f4:48:92:59,2026-08-04 20:44:32,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1030@B1,Evolve M2
38:e1:f4:48:8c:5f,2026-08-04 20:44:30,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2074@B1,Evolve M2
38:e1:f4:48:85:fc,2026-08-04 20:44:29,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2005@L,Evolve M2
8c:9a:8f:d9:eb:d8,2026-08-04 20:44:29,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1077,Evolve M2
8c:9a:8f:d9:f5:d1,2026-08-04 20:44:26,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,16,Evolve M2
38:e1:f4:48:db:45,2026-08-04 20:44:24,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1014@B2,Evolve M2
38:e1:f4:48:8e:35,2026-08-04 20:44:22,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1003@B2,Evolve M2
38:e1:f4:48:8b:61,2026-08-04 20:44:17,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2071,Evolve M2
38:e1:f4:48:d7:78,2026-08-04 20:44:15,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1088@L,Evolve M2
38:e1:f4:48:85:36,2026-08-04 20:44:15,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1064@B2,Evolve M2
38:e1:f4:48:8d:af,2026-08-04 20:44:14,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1005@B1,Evolve M2
8c:9a:8f:d9:ec:26,2026-08-04 20:44:13,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2035,Evolve M2
38:e1:f4:48:85:50,2026-08-04 20:44:11,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1064@B1,Evolve M2
38:e1:f4:48:82:84,2026-08-04 20:44:10,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2027,Evolve M2
38:e1:f4:48:92:38,2026-08-04 20:44:09,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1028,Evolve M2
38:e1:f4:49:84:b7,2026-08-04 20:44:07,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2057,Evolve M2
38:e1:f4:48:91:32,2026-08-04 20:44:06,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2072,Evolve M2
38:e1:f4:48:8c:6c,2026-08-04 20:43:00,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2080@B1,Evolve M2
38:e1:f4:48:92:aa,2026-08-04 20:42:58,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1034,Evolve M2
38:e1:f4:48:91:5c,2026-08-04 20:42:57,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2068@B1,Evolve M2
38:e1:f4:48:86:db,2026-08-04 20:42:53,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2001@B1,Evolve M2
38:e1:f4:48:dd:8c,2026-08-04 20:42:51,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1008@B1,Evolve M2
38:e1:f4:48:dd:95,2026-08-04 20:42:48,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1009@B2,Evolve M2
8c:9a:8f:d9:eb:e7,2026-08-04 20:42:42,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1056,Evolve M2
38:e1:f4:48:db:69,2026-08-04 20:42:38,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2017@B2,Evolve M2
38:e1:f4:48:93:b5,2026-08-04 20:42:33,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1046,Evolve M2
38:e1:f4:48:db:6f,2026-08-04 20:42:30,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1016@B1,Evolve M2
8c:9a:8f:d9:ef:dd,2026-08-04 20:42:29,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2045,Evolve M2
38:e1:f4:48:83:31,2026-08-04 20:42:29,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1062,Evolve M2
38:e1:f4:48:7c:33,2026-08-04 20:42:28,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2061,Evolve M2
18:0c:7a:8a:8a:2e,2026-08-04 20:42:27,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1060,Evolve M2
38:e1:f4:48:7c:54,2026-08-04 20:42:24,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2061,Evolve M2
18:0c:7a:8a:86:4d,2026-08-04 20:42:23,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1081@B2,Evolve M2
8c:9a:8f:d9:ec:69,2026-08-04 20:42:22,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1054@L,Evolve M2
38:e1:f4:48:7c:95,2026-08-04 20:42:22,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2011@B2,Evolve M2
8c:9a:8f:d9:ec:9d,2026-08-04 20:42:20,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2039,Evolve M2
38:e1:f4:48:85:9b,2026-08-04 20:42:19,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1064@L,Evolve M2
38:e1:f4:49:84:c3,2026-08-04 20:42:17,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2053@B1,Evolve M2
8c:9a:8f:d9:f3:d8,2026-08-04 20:42:16,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2046,Evolve M2
38:e1:f4:49:84:9c,2026-08-04 20:42:15,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2054@B2,Evolve M2
