Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
10:2b:aa:50:92:56,2026-07-14 04:59:57,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1512A,Evolve M2
10:2b:aa:50:34:6c,2026-07-14 04:59:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,405B,Evolve M2
10:2b:aa:50:2c:aa,2026-07-14 04:59:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1705A,Evolve M2
10:2b:aa:50:3e:80,2026-07-14 04:59:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1708B,Evolve M2
10:2b:aa:51:ea:4c,2026-07-14 04:59:53,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1205A,Evolve M2
10:2b:aa:50:90:ca,2026-07-14 04:59:52,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1511B,Evolve M2
10:2b:aa:50:38:80,2026-07-14 04:59:50,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,404B,Evolve M2
10:2b:aa:50:90:dc,2026-07-14 04:59:50,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1403B,Evolve M2
10:2b:aa:50:04:cf,2026-07-14 04:59:47,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1101S,Evolve M2
10:2b:aa:50:31:0f,2026-07-14 04:59:47,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1403A,Evolve M2
10:2b:aa:51:e8:21,2026-07-14 04:59:46,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1212A,Evolve M2
10:2b:aa:50:92:47,2026-07-14 04:59:45,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1610B,Evolve M2
10:2b:aa:50:2c:59,2026-07-14 04:59:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1710B,Evolve M2
10:2b:aa:50:2e:54,2026-07-14 04:59:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1112A,Evolve M2
10:2b:aa:50:90:19,2026-07-14 04:59:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,509A,Evolve M2
10:2b:aa:50:39:e2,2026-07-14 04:59:39,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,706B,Evolve M2
10:2b:aa:50:33:c4,2026-07-14 04:59:39,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,907B,Evolve M2
10:2b:aa:50:2c:e0,2026-07-14 04:59:38,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1604B,Evolve M2
10:2b:aa:50:39:a6,2026-07-14 04:59:37,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,703A,Evolve M2
10:2b:aa:50:8f:68,2026-07-14 04:59:36,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,211A,Evolve M2
10:2b:aa:50:38:2c,2026-07-14 04:59:36,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,805A,Evolve M2
10:2b:aa:50:31:4b,2026-07-14 04:59:35,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1206B,Evolve M2
